Country,0,0.5,1,1.5,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Australia,28096.66667,,48096.92188,37500,57806.72,74734.73438,86294.80263,101947.6667,112043.0667,119769.338,129777.869,140372.4308,133145.4474,152093.4444,152645.9245,159488.15,171700,163705.5556,181835.0952,191153.8462,186417.3913,181876.2857,187471,175091.6667,185389.9333,198987.7778,184480,172067.5,,180958,190105,,153055,191818,191267,179180,
Canada,28067.08333,,43580.42424,45000,57366.01852,75977.7,81958.29508,108229.5263,118321.2558,126469.5921,120862.1795,139319.3077,133750.6875,152831.1728,153403.3019,154163.8718,168393.9143,159695.6522,182435.6,184705.3846,183288.7813,181792.3548,187597.3846,180813,197288,189189.3333,222499,186916.8333,185722,,188924.5,179880.6,121450,179927.5,195270,188232,188651
China,28530.5,,51155.36697,42500,59985.82456,68657.13542,81558.32203,103807.425,107755.2111,118593.2923,125021.0952,136641.8352,133926.7632,151990.9118,151618.3143,154736.7273,167914.0351,161415.0909,187256.5581,181442.1667,188334.5652,185838.7143,168926.8462,174648.5,182819.1,178085,216241.75,175857,187707.6667,188196.4,187977,174398.5,183020,166109,193390,187586.6667,188651
United Kingdom,32520.31818,,47470.79208,35000,59825.45,72588.64444,80848.2233,98700.25882,110099.2273,124240.4776,130294.2778,136769.7722,121947.4595,158144.1224,156868.7164,147779.5,168333.9762,163284,183562.434,184109.7273,178043.9333,181258.7143,188878.6364,174477.1333,198969.6,201889.6667,207363,172926.25,194638,190596,192849.3333,184625.25,186321,197354,193390,188232,
United States of America,31235.22222,35000,44027.02913,28450,58516.51049,71494.10619,87289.17476,103273.6512,111029.1648,121029.973,125610.7978,137862.1625,134972.766,151507.1618,152057.5686,149326.9091,166560.5763,154927.8519,181816.3684,181778.0952,188946.5556,182162.6154,181326.2,178854.6,184800.625,180835.3,192279.5,177753.8333,184816,188653.25,188514.6667,190543,183138,,191388.5,,
